Protein	FilterMatch	RegEx
K9LJQ1_9BACT	Hydrazine synthase	hydrazine synthase
K9LJQ7_9BACT	Nitrite reductase	nitrite reductase
K9LJR1_9BACT	Nitrite reductase	nitrite reductase
K9LJR6_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LJR7_9BACT	Nitrite reductase	nitrite reductase
K9LJR9_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LJS0_9BACT	Nitrite reductase	nitrite reductase
K9LJS2_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LJS6_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LJT0_9BACT	Hydrazine synthase	hydrazine synthase
K9LJT2_9BACT	Hydrazine synthase	hydrazine synthase
K9LJT5_9BACT	Hydrazine synthase	hydrazine synthase
K9LJT7_9BACT	Hydrazine synthase	hydrazine synthase
K9LJT9_9BACT	Hydrazine synthase	hydrazine synthase
K9LJU0_9BACT	Nitrite reductase	nitrite reductase
K9LJU2_9BACT	Hydrazine synthase	hydrazine synthase
K9LJU6_9BACT	Nitrite reductase	nitrite reductase
K9LJU8_9BACT	Nitrite reductase	nitrite reductase
K9LJV4_9BACT	Nitrite reductase	nitrite reductase
K9LJV8_9BACT	Nitrite reductase	nitrite reductase
K9LJW1_9BACT	Nitrite reductase	nitrite reductase
K9LJW8_9BACT	Nitrite reductase	nitrite reductase
K9LJX4_9BACT	Nitrite reductase	nitrite reductase
K9LJY0_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LJY1_9BACT	Hydrazine synthase	hydrazine synthase
K9LJY3_9BACT	Nitrite reductase	nitrite reductase
K9LJY4_9BACT	Nitrite reductase	nitrite reductase
K9LJY7_9BACT	Hydrazine synthase	hydrazine synthase
K9LJY8_9BACT	Nitrite reductase	nitrite reductase
K9LJY9_9BACT	Hydrazine synthase	hydrazine synthase
K9LJZ0_9BACT	Nitrite reductase	nitrite reductase
K9LJZ3_9BACT	Nitrite reductase	nitrite reductase
K9LJZ4_9BACT	Hydrazine synthase	hydrazine synthase
K9LJZ6_9BACT	Nitrite reductase	nitrite reductase
K9LJZ7_9BACT	Hydrazine synthase	hydrazine synthase
K9LJZ8_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LK02_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LK05_9BACT	Nitrite reductase	nitrite reductase
K9LK07_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LK08_9BACT	Nitrite reductase	nitrite reductase
K9LK11_9BACT	Nitrite reductase	nitrite reductase
K9LK12_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LK15_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LK18_9BACT	Hydrazine synthase	hydrazine synthase
K9LK22_9BACT	Hydrazine synthase	hydrazine synthase
K9LK26_9BACT	Hydrazine synthase	hydrazine synthase
K9LK29_9BACT	Hydrazine synthase	hydrazine synthase
K9LK33_9BACT	Hydrazine synthase	hydrazine synthase
K9LK40_9BACT	Hydrazine synthase	hydrazine synthase
K9LK43_9BACT	Nitrite reductase	nitrite reductase
K9LK47_9BACT	Hydrazine synthase	hydrazine synthase
K9LK49_9BACT	Hydrazine synthase	hydrazine synthase
K9LK50_9BACT	Nitrite reductase	nitrite reductase
K9LK51_9BACT	Hydrazine synthase	hydrazine synthase
K9LK52_9BACT	Nitrite reductase	nitrite reductase
K9LK56_9BACT	Hydrazine synthase	hydrazine synthase
K9LK58_9BACT	Hydrazine synthase	hydrazine synthase
K9LK60_9BACT	Hydrazine synthase	hydrazine synthase
K9LK61_9BACT	Nitrite reductase	nitrite reductase
K9LK63_9BACT	Hydrazine synthase	hydrazine synthase
K9LK66_9BACT	Hydrazine synthase	hydrazine synthase
K9LK82_9BACT	Nitrite reductase	nitrite reductase
K9LKA6_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKA8_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKB1_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKB2_9BACT	Hydrazine synthase	hydrazine synthase
K9LKB5_9BACT	Hydrazine synthase	hydrazine synthase
K9LKB8_9BACT	Hydrazine synthase	hydrazine synthase
K9LKC1_9BACT	Hydrazine synthase	hydrazine synthase
K9LKC4_9BACT	Hydrazine synthase	hydrazine synthase
K9LKC7_9BACT	Hydrazine synthase	hydrazine synthase
K9LKD2_9BACT	Nitrite reductase	nitrite reductase
K9LKD3_9BACT	Nitrite reductase	nitrite reductase
K9LKD5_9BACT	Nitrite reductase	nitrite reductase
K9LKD8_9BACT	Nitrite reductase	nitrite reductase
K9LKE0_9BACT	Nitrite reductase	nitrite reductase
K9LKE8_9BACT	Nitrite reductase	nitrite reductase
K9LKG7_9BACT	Nitrite reductase	nitrite reductase
K9LKI0_9BACT	Nitrite reductase	nitrite reductase
K9LKM9_9BACT	Hydrazine synthase	hydrazine synthase
K9LKN3_9BACT	Hydrazine synthase	hydrazine synthase
K9LKN8_9BACT	Hydrazine synthase	hydrazine synthase
K9LKP1_9BACT	Hydrazine synthase	hydrazine synthase
K9LKP7_9BACT	Hydrazine synthase	hydrazine synthase
K9LKQ4_9BACT	Nitrite reductase	nitrite reductase
K9LKR9_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKS1_9BACT	Nitrite reductase	nitrite reductase
K9LKS9_9BACT	Nitrite reductase	nitrite reductase
K9LKT2_9BACT	Nitrite reductase	nitrite reductase
K9LKT4_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKT8_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKU0_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKU1_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKU3_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LKU4_9BACT	Hydrazine synthase	hydrazine synthase
K9LKU6_9BACT	Hydrazine synthase	hydrazine synthase
K9LKU8_9BACT	Hydrazine synthase	hydrazine synthase
K9LKU9_9BACT	Hydrazine synthase	hydrazine synthase
K9LKV1_9BACT	Hydrazine synthase	hydrazine synthase
K9LKV4_9BACT	Nitrite reductase	nitrite reductase
K9LKV6_9BACT	Nitrite reductase	nitrite reductase
K9LKV8_9BACT	Nitrite reductase	nitrite reductase
K9LKV9_9BACT	Nitrite reductase	nitrite reductase
K9LKW6_9BACT	Hydrazine synthase	hydrazine synthase
K9LKW7_9BACT	Hydrazine synthase	hydrazine synthase
K9LKX4_9BACT	Nitrite reductase	nitrite reductase
K9LL06_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LL09_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LL13_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LL16_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LL18_9BACT	Hydrazine synthase	hydrazine synthase
K9LL21_9BACT	Hydrazine synthase	hydrazine synthase
K9LL31_9BACT	Hydrazine synthase	hydrazine synthase
K9LL34_9BACT	Hydrazine synthase	hydrazine synthase
K9LL38_9BACT	Nitrite reductase	nitrite reductase
K9LL41_9BACT	Nitrite reductase	nitrite reductase
K9LL45_9BACT	Nitrite reductase	nitrite reductase
K9LL48_9BACT	Nitrite reductase	nitrite reductase
K9LL51_9BACT	Nitrite reductase	nitrite reductase
K9LL72_9BACT	Nitrite reductase	nitrite reductase
K9LL76_9BACT	Nitrite reductase	nitrite reductase
K9LL79_9BACT	Nitrite reductase	nitrite reductase
K9LL82_9BACT	Nitrite reductase	nitrite reductase
K9LL88_9BACT	Nitrite reductase	nitrite reductase
K9LL91_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LL94_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LL98_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LLA0_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LLA3_9BACT	Hydrazine synthase	hydrazine synthase
K9LLA7_9BACT	Hydrazine synthase	hydrazine synthase
K9LLA8_9BACT	Hydrazine synthase	hydrazine synthase
K9LLB3_9BACT	Hydrazine synthase	hydrazine synthase
K9LLB4_9BACT	Hydrazine synthase	hydrazine synthase
K9LLB5_9BACT	Hydrazine synthase	hydrazine synthase
K9LLB7_9BACT	Hydrazine synthase	hydrazine synthase
K9LLB9_9BACT	Hydrazine synthase	hydrazine synthase
K9LLC2_9BACT	Hydrazine synthase	hydrazine synthase
K9LLC3_9BACT	Hydrazine synthase	hydrazine synthase
K9LLC6_9BACT	Hydrazine synthase	hydrazine synthase
K9LLC7_9BACT	Nitrite reductase	nitrite reductase
K9LLD1_9BACT	Nitrite reductase	nitrite reductase
K9LLD2_9BACT	Nitrite reductase	nitrite reductase
K9LLD4_9BACT	Nitrite reductase	nitrite reductase
K9LLD6_9BACT	Nitrite reductase	nitrite reductase
K9LLD7_9BACT	Nitrite reductase	nitrite reductase
K9LLE0_9BACT	Nitrite reductase	nitrite reductase
K9LLG1_9BACT	Hydrazine synthase	hydrazine synthase
K9LLK3_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LLK6_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LLK9_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LLL2_9BACT	Hydrazine oxidoreductase	hydrazine oxidoreductase
K9LLL4_9BACT	Hydrazine synthase	hydrazine synthase
K9LLL6_9BACT	Hydrazine synthase	hydrazine synthase
K9LLL8_9BACT	Hydrazine synthase	hydrazine synthase
K9LLM5_9BACT	Hydrazine synthase	hydrazine synthase
K9LLM9_9BACT	Hydrazine synthase	hydrazine synthase
K9LLN3_9BACT	Nitrite reductase	nitrite reductase
K9LLN8_9BACT	Nitrite reductase	nitrite reductase
K9LLP1_9BACT	Nitrite reductase	nitrite reductase
K9LLP6_9BACT	Nitrite reductase	nitrite reductase
K9LLQ1_9BACT	Nitrite reductase	nitrite reductase
K9LLQ5_9BACT	Nitrite reductase	nitrite reductase
K9LLR0_9BACT	Nitrite reductase	nitrite reductase
K9LLR8_9BACT	Nitrite reductase	nitrite reductase
K9LLS9_9BACT	Nitrite reductase	nitrite reductase
K9LLU2_9BACT	Nitrite reductase	nitrite reductase
K9LM04_9BACT	Hydrazine synthase	hydrazine synthase
K9LM08_9BACT	Hydrazine synthase	hydrazine synthase
K9LM10_9BACT	Hydrazine synthase	hydrazine synthase
K9LM14_9BACT	Hydrazine synthase	hydrazine synthase
K9LM18_9BACT	Hydrazine synthase	hydrazine synthase
K9LM21_9BACT	Hydrazine synthase	hydrazine synthase
K9MXB7_9BACT	Nitrite reductase	nitrite reductase
K9MXC2_9BACT	Nitrite reductase	nitrite reductase
K9MXC7_9BACT	Nitrite reductase	nitrite reductase
K9MXD2_9BACT	Nitrite reductase	nitrite reductase
K9MXD7_9BACT	Nitrite reductase	nitrite reductase
K9MXE5_9BACT	Nitrite reductase	nitrite reductase
K9MXE8_9BACT	Nitrite reductase	nitrite reductase
K9MXF3_9BACT	Nitrite reductase	nitrite reductase
K9MXF6_9BACT	Nitrite reductase	nitrite reductase
K9MXG0_9BACT	Nitrite reductase	nitrite reductase
K9MXG4_9BACT	Nitrite reductase	nitrite reductase
K9MXG9_9BACT	Nitrite reductase	nitrite reductase
K9MXH3_9BACT	Nitrite reductase	nitrite reductase
K9MXH8_9BACT	Nitrite reductase	nitrite reductase
K9MXI7_9BACT	Nitrite reductase	nitrite reductase
K9MXJ2_9BACT	Nitrite reductase	nitrite reductase
K9MXJ7_9BACT	Nitrite reductase	nitrite reductase
K9MXK1_9BACT	Nitrite reductase	nitrite reductase
K9MXK6_9BACT	Nitrite reductase	nitrite reductase
K9MXL0_9BACT	Nitrite reductase	nitrite reductase
K9MXL5_9BACT	Nitrite reductase	nitrite reductase
K9MXL8_9BACT	Nitrite reductase	nitrite reductase
K9MXN2_9BACT	Nitrite reductase	nitrite reductase
K9MXN7_9BACT	Nitrite reductase	nitrite reductase
K9MXP2_9BACT	Nitrite reductase	nitrite reductase
K9MXP8_9BACT	Nitrite reductase	nitrite reductase
K9MXQ2_9BACT	Nitrite reductase	nitrite reductase
K9MXR5_9BACT	Nitrite reductase	nitrite reductase
K9MXS6_9BACT	Nitrite reductase	nitrite reductase
K9MXT2_9BACT	Nitrite reductase	nitrite reductase
K9MY80_9BACT	Nitrite reductase	nitrite reductase
K9MY86_9BACT	Nitrite reductase	nitrite reductase
K9MY92_9BACT	Nitrite reductase	nitrite reductase
K9MY97_9BACT	Nitrite reductase	nitrite reductase
K9MYA2_9BACT	Nitrite reductase	nitrite reductase
K9MYB9_9BACT	Nitrite reductase	nitrite reductase
K9MYC4_9BACT	Nitrite reductase	nitrite reductase
K9MYD0_9BACT	Nitrite reductase	nitrite reductase
K9MYD5_9BACT	Nitrite reductase	nitrite reductase
K9MYE0_9BACT	Nitrite reductase	nitrite reductase
K9MYE5_9BACT	Nitrite reductase	nitrite reductase
K9MYE9_9BACT	Nitrite reductase	nitrite reductase
K9MYF4_9BACT	Nitrite reductase	nitrite reductase
K9MYG0_9BACT	Nitrite reductase	nitrite reductase
K9MYG4_9BACT	Nitrite reductase	nitrite reductase
K9MYG9_9BACT	Nitrite reductase	nitrite reductase
K9MYH4_9BACT	Nitrite reductase	nitrite reductase
K9MYH9_9BACT	Nitrite reductase	nitrite reductase
K9MYI4_9BACT	Nitrite reductase	nitrite reductase
K9MYI9_9BACT	Nitrite reductase	nitrite reductase
K9MYJ5_9BACT	Nitrite reductase	nitrite reductase
K9MYK1_9BACT	Nitrite reductase	nitrite reductase
K9MYK2_9BACT	Nitrite reductase	nitrite reductase
K9MYK5_9BACT	Nitrite reductase	nitrite reductase
K9MYL0_9BACT	Nitrite reductase	nitrite reductase
K9MYL1_9BACT	Nitrite reductase	nitrite reductase
K9MYL5_9BACT	Nitrite reductase	nitrite reductase
K9MYM0_9BACT	Nitrite reductase	nitrite reductase
K9MYM1_9BACT	Nitrite reductase	nitrite reductase
K9MYM6_9BACT	Nitrite reductase	nitrite reductase
K9MYM7_9BACT	Nitrite reductase	nitrite reductase
K9MYN1_9BACT	Nitrite reductase	nitrite reductase
K9MYN2_9BACT	Nitrite reductase	nitrite reductase
K9MYN6_9BACT	Nitrite reductase	nitrite reductase
K9MYN7_9BACT	Nitrite reductase	nitrite reductase
K9MYP2_9BACT	Nitrite reductase	nitrite reductase
K9MYP5_9BACT	Nitrite reductase	nitrite reductase
K9MYP6_9BACT	Nitrite reductase	nitrite reductase
K9MYQ1_9BACT	Nitrite reductase	nitrite reductase
K9MYQ5_9BACT	Nitrite reductase	nitrite reductase
K9MYQ6_9BACT	Nitrite reductase	nitrite reductase
K9MYR0_9BACT	Nitrite reductase	nitrite reductase
K9MYR5_9BACT	Nitrite reductase	nitrite reductase
K9MYS1_9BACT	Nitrite reductase	nitrite reductase
K9MYS7_9BACT	Nitrite reductase	nitrite reductase
K9MYT4_9BACT	Nitrite reductase	nitrite reductase
K9MYU0_9BACT	Nitrite reductase	nitrite reductase
K9MYU6_9BACT	Nitrite reductase	nitrite reductase
K9MYV0_9BACT	Nitrite reductase	nitrite reductase
K9MYV8_9BACT	Nitrite reductase	nitrite reductase
K9MYX0_9BACT	Nitrite reductase	nitrite reductase
K9MYX8_9BACT	Nitrite reductase	nitrite reductase
K9MYY7_9BACT	Nitrite reductase	nitrite reductase
K9MYZ2_9BACT	Nitrite reductase	nitrite reductase
K9MYZ6_9BACT	Nitrite reductase	nitrite reductase
K9MZ01_9BACT	Nitrite reductase	nitrite reductase
K9MZ06_9BACT	Nitrite reductase	nitrite reductase
K9MZ10_9BACT	Nitrite reductase	nitrite reductase
K9MZ15_9BACT	Nitrite reductase	nitrite reductase
K9MZ24_9BACT	Nitrite reductase	nitrite reductase
K9MZU0_9BACT	Nitrite reductase	nitrite reductase
K9MZU5_9BACT	Nitrite reductase	nitrite reductase
K9MZU9_9BACT	Nitrite reductase	nitrite reductase
K9MZV4_9BACT	Nitrite reductase	nitrite reductase
K9MZW0_9BACT	Nitrite reductase	nitrite reductase
K9MZW4_9BACT	Nitrite reductase	nitrite reductase
K9MZW9_9BACT	Nitrite reductase	nitrite reductase
K9MZX5_9BACT	Nitrite reductase	nitrite reductase
K9MZY0_9BACT	Nitrite reductase	nitrite reductase
K9MZY4_9BACT	Nitrite reductase	nitrite reductase
K9MZY9_9BACT	Nitrite reductase	nitrite reductase
K9MZZ0_9BACT	Nitrite reductase	nitrite reductase
K9MZZ4_9BACT	Nitrite reductase	nitrite reductase
K9MZZ6_9BACT	Nitrite reductase	nitrite reductase
K9MZZ7_9BACT	Nitrite reductase	nitrite reductase
K9N003_9BACT	Nitrite reductase	nitrite reductase
K9N005_9BACT	Nitrite reductase	nitrite reductase
K9N007_9BACT	Nitrite reductase	nitrite reductase
K9N009_9BACT	Nitrite reductase	nitrite reductase
K9N012_9BACT	Nitrite reductase	nitrite reductase
K9N017_9BACT	Nitrite reductase	nitrite reductase
K9N022_9BACT	Nitrite reductase	nitrite reductase
K9N024_9BACT	Nitrite reductase	nitrite reductase
K9N027_9BACT	Nitrite reductase	nitrite reductase
K9N032_9BACT	Nitrite reductase	nitrite reductase
K9N036_9BACT	Nitrite reductase	nitrite reductase
K9N037_9BACT	Nitrite reductase	nitrite reductase
K9N041_9BACT	Nitrite reductase	nitrite reductase
K9N042_9BACT	Nitrite reductase	nitrite reductase
K9N047_9BACT	Nitrite reductase	nitrite reductase
K9N056_9BACT	Nitrite reductase	nitrite reductase
K9N068_9BACT	Nitrite reductase	nitrite reductase
K9N069_9BACT	Nitrite reductase	nitrite reductase
K9N072_9BACT	Nitrite reductase	nitrite reductase
K9N074_9BACT	Nitrite reductase	nitrite reductase
K9N077_9BACT	Nitrite reductase	nitrite reductase
K9N078_9BACT	Nitrite reductase	nitrite reductase
K9N082_9BACT	Nitrite reductase	nitrite reductase
K9N084_9BACT	Nitrite reductase	nitrite reductase
K9N089_9BACT	Nitrite reductase	nitrite reductase
K9N091_9BACT	Nitrite reductase	nitrite reductase
K9N093_9BACT	Nitrite reductase	nitrite reductase
K9N095_9BACT	Nitrite reductase	nitrite reductase
K9N097_9BACT	Nitrite reductase	nitrite reductase
K9N099_9BACT	Nitrite reductase	nitrite reductase
K9N0A2_9BACT	Nitrite reductase	nitrite reductase
K9N0A6_9BACT	Nitrite reductase	nitrite reductase
K9N0A7_9BACT	Nitrite reductase	nitrite reductase
K9N0B1_9BACT	Nitrite reductase	nitrite reductase
K9N0B3_9BACT	Nitrite reductase	nitrite reductase
K9N0B9_9BACT	Nitrite reductase	nitrite reductase
K9N0C9_9BACT	Nitrite reductase	nitrite reductase
K9N0D4_9BACT	Nitrite reductase	nitrite reductase
K9N0D9_9BACT	Nitrite reductase	nitrite reductase
K9N0E3_9BACT	Nitrite reductase	nitrite reductase
L0B7S1_9BACT	nitrite reductase	nitrite reductase
L0B7S5_9BACT	nitrite reductase	nitrite reductase
L0B7S9_9BACT	nitrite reductase	nitrite reductase
L0B7T5_9BACT	nitrite reductase	nitrite reductase
L0B7U0_9BACT	nitrite reductase	nitrite reductase
L0B7U1_9BACT	nitrite reductase	nitrite reductase
L0B7U5_9BACT	nitrite reductase	nitrite reductase
L0B7U6_9BACT	nitrite reductase	nitrite reductase
L0B7V0_9BACT	nitrite reductase	nitrite reductase
L0B7V1_9BACT	nitrite reductase	nitrite reductase
L0B7V5_9BACT	nitrite reductase	nitrite reductase
L0B7V6_9BACT	nitrite reductase	nitrite reductase
L0B7V9_9BACT	nitrite reductase	nitrite reductase
L0B7W2_9BACT	nitrite reductase	nitrite reductase
L0B7W4_9BACT	nitrite reductase	nitrite reductase
L0B7W7_9BACT	nitrite reductase	nitrite reductase
L0B7W9_9BACT	nitrite reductase	nitrite reductase
L0B7X1_9BACT	nitrite reductase	nitrite reductase
L0B7X4_9BACT	nitrite reductase	nitrite reductase
L0B7X7_9BACT	nitrite reductase	nitrite reductase
L0B7X9_9BACT	nitrite reductase	nitrite reductase
L0B7Y0_9BACT	nitrite reductase	nitrite reductase
L0B7Y4_9BACT	nitrite reductase	nitrite reductase
L0B7Y5_9BACT	nitrite reductase	nitrite reductase
L0B7Y9_9BACT	nitrite reductase	nitrite reductase
L0B7Z0_9BACT	nitrite reductase	nitrite reductase
L0B7Z3_9BACT	nitrite reductase	nitrite reductase
L0B7Z5_9BACT	nitrite reductase	nitrite reductase
L0B7Z8_9BACT	nitrite reductase	nitrite reductase
L0B800_9BACT	nitrite reductase	nitrite reductase
L0B803_9BACT	nitrite reductase	nitrite reductase
L0B805_9BACT	nitrite reductase	nitrite reductase
L0B807_9BACT	nitrite reductase	nitrite reductase
L0B809_9BACT	nitrite reductase	nitrite reductase
L0B812_9BACT	nitrite reductase	nitrite reductase
L0B814_9BACT	nitrite reductase	nitrite reductase
L0B817_9BACT	nitrite reductase	nitrite reductase
L0B818_9BACT	nitrite reductase	nitrite reductase
L0B821_9BACT	nitrite reductase	nitrite reductase
L0B824_9BACT	nitrite reductase	nitrite reductase
L0B826_9BACT	nitrite reductase	nitrite reductase
L0B829_9BACT	nitrite reductase	nitrite reductase
L0B833_9BACT	nitrite reductase	nitrite reductase
L0B835_9BACT	nitrite reductase	nitrite reductase
L0B838_9BACT	nitrite reductase	nitrite reductase
L0B840_9BACT	nitrite reductase	nitrite reductase
L0B843_9BACT	nitrite reductase	nitrite reductase
L0B845_9BACT	nitrite reductase	nitrite reductase
L0B848_9BACT	nitrite reductase	nitrite reductase
L0B849_9BACT	nitrite reductase	nitrite reductase
L0B853_9BACT	nitrite reductase	nitrite reductase
L0B854_9BACT	nitrite reductase	nitrite reductase
L0B858_9BACT	nitrite reductase	nitrite reductase
L0B859_9BACT	nitrite reductase	nitrite reductase
L0B862_9BACT	nitrite reductase	nitrite reductase
L0B864_9BACT	nitrite reductase	nitrite reductase
L0B867_9BACT	nitrite reductase	nitrite reductase
L0B869_9BACT	nitrite reductase	nitrite reductase
L0B871_9BACT	nitrite reductase	nitrite reductase
L0B873_9BACT	nitrite reductase	nitrite reductase
L0B875_9BACT	nitrite reductase	nitrite reductase
L0B877_9BACT	nitrite reductase	nitrite reductase
L0B879_9BACT	nitrite reductase	nitrite reductase
L0B881_9BACT	nitrite reductase	nitrite reductase
L0B883_9BACT	nitrite reductase	nitrite reductase
L0B886_9BACT	nitrite reductase	nitrite reductase
L0B888_9BACT	nitrite reductase	nitrite reductase
L0B890_9BACT	nitrite reductase	nitrite reductase
L0B891_9BACT	nitrite reductase	nitrite reductase
L0B896_9BACT	nitrite reductase	nitrite reductase
L0B897_9BACT	nitrite reductase	nitrite reductase
L0B8A0_9BACT	nitrite reductase	nitrite reductase
L0B8A2_9BACT	nitrite reductase	nitrite reductase
L0B8A5_9BACT	nitrite reductase	nitrite reductase
L0B8A7_9BACT	nitrite reductase	nitrite reductase
L0B8B1_9BACT	nitrite reductase	nitrite reductase
L0B8B2_9BACT	nitrite reductase	nitrite reductase
L0B8B6_9BACT	nitrite reductase	nitrite reductase
L0B8B7_9BACT	nitrite reductase	nitrite reductase
L0B8C1_9BACT	nitrite reductase	nitrite reductase
L0B8C3_9BACT	nitrite reductase	nitrite reductase
L0B8C7_9BACT	nitrite reductase	nitrite reductase
L0B8C8_9BACT	nitrite reductase	nitrite reductase
L0B8D2_9BACT	nitrite reductase	nitrite reductase
L0B8D7_9BACT	nitrite reductase	nitrite reductase
L0B8E3_9BACT	nitrite reductase	nitrite reductase
L0B903_9BACT	nitrite reductase	nitrite reductase
L0B907_9BACT	nitrite reductase	nitrite reductase
L0B912_9BACT	nitrite reductase	nitrite reductase
L0B916_9BACT	nitrite reductase	nitrite reductase
L0B919_9BACT	nitrite reductase	nitrite reductase
L0B922_9BACT	nitrite reductase	nitrite reductase
L0B924_9BACT	nitrite reductase	nitrite reductase
L0B927_9BACT	nitrite reductase	nitrite reductase
L0B931_9BACT	nitrite reductase	nitrite reductase
L0B935_9BACT	nitrite reductase	nitrite reductase
L0B940_9BACT	nitrite reductase	nitrite reductase
L0B943_9BACT	nitrite reductase	nitrite reductase
L0B947_9BACT	nitrite reductase	nitrite reductase
L0B952_9BACT	nitrite reductase	nitrite reductase
L0B957_9BACT	nitrite reductase	nitrite reductase
L0B963_9BACT	nitrite reductase	nitrite reductase
L0B966_9BACT	nitrite reductase	nitrite reductase
L0B971_9BACT	nitrite reductase	nitrite reductase
L0B975_9BACT	nitrite reductase	nitrite reductase
L0B979_9BACT	nitrite reductase	nitrite reductase
L0B984_9BACT	nitrite reductase	nitrite reductase
L0B990_9BACT	nitrite reductase	nitrite reductase
L0B995_9BACT	nitrite reductase	nitrite reductase
L0B9A0_9BACT	nitrite reductase	nitrite reductase
L0B9A5_9BACT	nitrite reductase	nitrite reductase
L0B9A9_9BACT	nitrite reductase	nitrite reductase
L0B9B4_9BACT	nitrite reductase	nitrite reductase
L0B9B9_9BACT	nitrite reductase	nitrite reductase
L0B9C3_9BACT	nitrite reductase	nitrite reductase
L0B9C9_9BACT	nitrite reductase	nitrite reductase
L0B9D4_9BACT	nitrite reductase	nitrite reductase
L0B9D9_9BACT	nitrite reductase	nitrite reductase
L0B9E4_9BACT	nitrite reductase	nitrite reductase
L0B9E8_9BACT	nitrite reductase	nitrite reductase
L0B9F3_9BACT	nitrite reductase	nitrite reductase
L0B9F9_9BACT	nitrite reductase	nitrite reductase
L0B9G4_9BACT	nitrite reductase	nitrite reductase
L0B9H0_9BACT	nitrite reductase	nitrite reductase
L0B9H4_9BACT	nitrite reductase	nitrite reductase
L0B9H8_9BACT	nitrite reductase	nitrite reductase
L0B9I2_9BACT	nitrite reductase	nitrite reductase
L0B9I7_9BACT	nitrite reductase	nitrite reductase
L0B9U5_9BACT	nitrite reductase	nitrite reductase
L0B9U9_9BACT	nitrite reductase	nitrite reductase
L0B9V2_9BACT	nitrite reductase	nitrite reductase
L0B9V6_9BACT	nitrite reductase	nitrite reductase
L0B9W0_9BACT	nitrite reductase	nitrite reductase
L0B9W3_9BACT	nitrite reductase	nitrite reductase
L0B9W7_9BACT	nitrite reductase	nitrite reductase
L0B9X1_9BACT	nitrite reductase	nitrite reductase
L0B9X3_9BACT	nitrite reductase	nitrite reductase
L0B9X8_9BACT	nitrite reductase	nitrite reductase
L0B9Y3_9BACT	nitrite reductase	nitrite reductase
L0B9Y7_9BACT	nitrite reductase	nitrite reductase
L0B9Z2_9BACT	nitrite reductase	nitrite reductase
L0B9Z6_9BACT	nitrite reductase	nitrite reductase
L0B9Z8_9BACT	nitrite reductase	nitrite reductase
L0BA03_9BACT	nitrite reductase	nitrite reductase
L0BA09_9BACT	nitrite reductase	nitrite reductase
L0BA12_9BACT	nitrite reductase	nitrite reductase
L0BA16_9BACT	nitrite reductase	nitrite reductase
L0BA22_9BACT	nitrite reductase	nitrite reductase
L0BA25_9BACT	nitrite reductase	nitrite reductase
L0BA31_9BACT	nitrite reductase	nitrite reductase
L0BA35_9BACT	nitrite reductase	nitrite reductase
L0BA40_9BACT	nitrite reductase	nitrite reductase
L0BA44_9BACT	nitrite reductase	nitrite reductase
L0BA48_9BACT	nitrite reductase	nitrite reductase
L0BA53_9BACT	nitrite reductase	nitrite reductase
L0BA54_9BACT	nitrite reductase	nitrite reductase
L0BA57_9BACT	nitrite reductase	nitrite reductase
L0BA59_9BACT	nitrite reductase	nitrite reductase
L0BA61_9BACT	nitrite reductase	nitrite reductase
L0BA63_9BACT	nitrite reductase	nitrite reductase
L0BA65_9BACT	nitrite reductase	nitrite reductase
L0BA67_9BACT	nitrite reductase	nitrite reductase
L0BA70_9BACT	nitrite reductase	nitrite reductase
