Protein	FilterMatch	RegEx
M9UGX9_SULIS	nitrite reductase	nitrite reductase
O30073_ARCFU	NirA	\bNirA\b
O58557_PYRHO	nitrite reductase	nitrite reductase
Q12YM4_METBU	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
Q18I40_HALWD	Nitrite reductase	nitrite reductase
Q3INU9_NATPD	Nitrite reductase	nitrite reductase
Q3ISJ6_NATPD	Nitrite reductase	nitrite reductase
Q3IT70_NATPD	nitrite reductase	nitrite reductase
Q5UYD1_HALMA	nitrite reductase	nitrite reductase
Q5UYQ0_HALMA	Nitrite reductase	nitrite reductase
Q5UZ93_HALMA	nitrite reductase	nitrite reductase
Q6L1P2_PICTO	nitrite reductase	nitrite reductase
Q8TX74_METKA	nitrite reductase	nitrite reductase
Q8TX76_METKA	nitrite reductase	nitrite reductase
Q8ZST1_PYRAE	Nitrite reductase	nitrite reductase
Q8ZST2_PYRAE	Nitrite reductase	nitrite reductase
Q8ZUW2_PYRAE	nitrite reductase	nitrite reductase
R4VWV4_9EURY	Nitrite reductase	nitrite reductase
R4W7T3_9EURY	nitrite reductase	nitrite reductase
U6EE25_9EURY	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
V5TPG3_HALHI	Nitrite reductase	nitrite reductase
W0K099_9EURY	nitrite reductase	nitrite reductase
C3VJB1_9ARCH	nitrite reductase	nitrite reductase
C3VJB2_9ARCH	nitrite reductase	nitrite reductase
C3VJB3_9ARCH	nitrite reductase	nitrite reductase
C3VJB4_9ARCH	nitrite reductase	nitrite reductase
C3VJB5_9ARCH	nitrite reductase	nitrite reductase
C3VJB6_9ARCH	nitrite reductase	nitrite reductase
C3VJB8_9ARCH	nitrite reductase	nitrite reductase
C3VJB9_9ARCH	nitrite reductase	nitrite reductase
C3VJC0_9ARCH	nitrite reductase	nitrite reductase
C3VJC1_9ARCH	nitrite reductase	nitrite reductase
